Timestamp,ECG
31:48.8,521
31:48.9,573
31:49.0,571
31:49.1,615
31:49.2,568
31:49.3,519
31:49.4,513
31:49.5,562
31:49.6,573
31:49.7,577
31:49.8,581
31:49.9,501
31:50.0,528
31:50.1,534
31:50.2,568
31:50.3,577
31:50.4,571
31:50.5,573
31:50.6,509
31:50.7,517
31:50.8,488
31:50.9,582
31:51.0,572
31:51.1,576
31:51.2,572
31:51.3,591
31:51.4,564
31:51.5,516
31:51.6,499
31:51.7,566
31:51.8,576
31:51.9,577
31:52.0,576
31:52.1,571
31:52.2,562
31:52.3,562
31:52.4,565
31:52.5,559
31:52.6,561
31:52.7,566
31:52.8,694
31:52.9,500
31:53.0,478
31:53.1,581
31:53.2,581
31:53.3,582
31:53.4,570
31:53.5,580
31:53.6,579
31:53.7,576
31:53.8,573
31:53.9,596
31:54.0,514
31:54.1,511
31:54.2,569
31:54.3,569
31:54.4,569
31:54.6,567
31:54.6,561
31:54.7,578
31:54.8,559
31:54.9,517
31:55.0,502
31:55.1,561
31:55.2,578
31:55.3,574
31:55.4,573
31:55.5,567
31:55.6,561
31:55.7,560
31:55.8,653
31:55.9,513
31:56.3,488
31:56.3,580
31:56.3,583
31:56.3,568
31:56.4,574
31:56.6,567
31:56.6,573
31:56.8,506
31:56.8,518
31:57.0,508
31:57.1,581
31:57.2,573
31:57.2,580
31:57.4,581
31:57.5,571
31:57.6,569
31:57.7,514
31:57.8,514
31:57.9,505
31:58.0,568
31:58.1,572
31:58.2,581
31:58.3,570
31:58.4,568
31:58.5,567
31:58.6,703
31:58.7,522
31:58.8,504
31:58.9,578
31:59.0,572
31:59.1,579
31:59.2,580
31:59.3,590
31:59.4,772
31:59.5,525
31:59.6,528
31:59.7,574
31:59.8,566
31:59.9,569
32:00.0,590
32:00.1,554
32:00.2,509
32:00.3,500
32:00.4,557
32:00.6,577
32:00.6,571
32:00.8,582
32:00.8,564
32:00.9,652
32:01.0,512
32:01.1,495
32:01.2,578
32:01.3,580
32:01.4,577
32:01.5,573
32:01.6,512
32:01.7,522
32:01.8,506
32:01.9,562
32:02.0,570
32:02.1,572
32:02.2,569
32:02.3,607
32:02.4,570
32:02.5,516
32:02.6,507
32:02.7,549
32:02.8,578
32:02.9,578
32:03.0,573
32:03.1,567
32:03.2,556
32:03.3,521
32:03.4,508
32:03.5,512
32:03.6,576
32:03.8,578
32:03.8,577
32:04.0,586
32:04.0,568
32:04.2,521
32:04.3,521
32:04.3,514
32:04.4,583
32:04.6,585
32:04.7,580
32:04.8,581
32:04.9,564
32:05.0,523
32:05.1,516
32:05.2,562
32:05.3,570
32:05.4,576
32:05.5,577
32:05.6,576
32:05.7,686
32:05.8,531
32:05.9,533
32:06.0,564
32:06.1,566
32:06.2,570
32:06.3,566
32:06.4,571
32:06.5,499
32:06.6,495
32:06.7,579
32:06.8,580
32:06.9,579
32:07.0,570
32:07.1,614
32:07.2,518
32:07.3,500
32:07.4,590
32:07.5,592
32:07.6,588
32:07.7,555
32:07.8,509
32:07.9,502
32:08.0,454
32:08.1,534
32:08.2,577
32:08.3,576
32:08.4,572
32:08.5,580
32:08.7,568
32:08.7,478
32:08.8,513
32:08.9,488
32:09.0,568
32:09.1,562
32:09.2,573
32:09.3,568
32:09.4,564
32:09.9,567
32:09.9,627
32:09.9,500
32:09.9,474
32:09.9,576
32:10.0,579
32:10.1,583
32:10.3,582
32:10.3,570
32:10.4,568
32:10.5,692
32:10.6,504
32:10.7,469
32:10.8,585
32:10.9,574
32:11.1,572
32:11.1,566
32:11.2,572
32:11.3,567
32:11.4,518
32:11.5,509
32:11.6,512
32:11.7,588
32:11.8,590
32:11.9,585
32:12.0,577
32:12.1,576
32:12.3,678
32:12.4,509
32:12.4,487
32:12.5,580
32:12.6,577
32:12.8,577
32:12.9,581
32:13.0,571
32:13.0,525
32:13.2,521
32:13.3,535
32:13.4,580
32:13.5,580
32:13.6,590
32:13.7,572
32:13.8,567
32:13.9,511
32:14.0,498
32:14.1,570
32:14.2,577
32:14.3,616
32:14.4,564
32:14.5,521
32:14.6,506
32:14.7,554
32:14.8,572
32:14.9,570
32:15.0,568
32:15.1,525
32:15.2,516
32:15.3,494
32:15.4,572
32:15.5,572
32:15.6,574
32:15.7,561
32:15.8,774
32:15.9,512
32:16.0,499
32:16.1,585
32:16.2,589
32:16.3,577
32:16.4,573
32:16.5,569
32:16.6,736
32:16.7,507
32:16.8,493
32:17.0,574
32:17.2,564
32:17.2,566
32:17.2,561
32:17.3,558
32:17.4,561
32:17.5,542
32:17.6,519
32:17.7,507
32:17.8,577
32:18.0,570
32:18.0,586
32:18.1,585
32:18.3,566
32:18.3,556
32:18.5,689
32:18.5,510
32:18.6,505
32:18.8,567
32:18.8,568
32:18.9,570
32:19.1,566
32:19.2,573
32:19.3,564
32:19.3,727
32:19.4,514
32:19.6,498
32:19.6,567
32:19.7,570
32:19.9,570
32:19.9,566
32:20.0,566
32:20.2,567
32:20.3,562
32:20.3,637
32:20.5,512
32:20.6,500
32:20.7,574
32:20.8,570
32:20.9,576
32:20.9,578
32:21.1,577
32:21.2,573
32:21.3,571
32:21.4,669
32:21.5,513
32:21.6,509
32:21.7,578
32:21.8,572
32:21.9,572
32:22.0,570
32:22.1,568
32:22.2,567
32:22.3,562
32:22.4,574
32:22.5,526
32:22.6,523
32:22.7,570
32:22.8,572
32:22.9,577
32:23.0,570
32:23.1,595
32:23.2,556
32:23.3,521
32:23.4,512
32:23.5,553
32:23.6,568
32:23.7,561
32:23.8,572
32:23.9,570
32:24.0,567
32:24.1,744
32:24.2,514
32:24.3,499
32:24.4,569
32:24.5,569
32:24.6,580
32:24.7,572
32:24.8,576
32:24.9,559
32:25.0,522
32:25.1,509
32:25.2,519
32:25.6,572
32:25.6,568
32:25.6,579
32:25.6,559
32:25.7,561
32:25.8,512
32:25.9,521
32:26.1,514
32:26.1,572
32:26.3,578
32:26.3,570
32:26.4,574
32:26.5,570
